dataset_id,table_id,column_name,code_value,code_label,code_description,vocabulary_iri,term_iri,term_type
fraser-coho-2023-2024,escapement,AREA,29F,29F Lillooet,Sub-district 29F; the Map of Areas gives its sub-district office as Lillooet.,,,
fraser-coho-2023-2024,escapement,AREA,29G,29G Williams Lake,Sub-district 29G; the Map of Areas gives its sub-district office as Williams Lake.,,,
fraser-coho-2023-2024,escapement,AREA,29J,29J Clearwater,Sub-district 29J; the Map of Areas gives its sub-district office as Clearwater.,,,
fraser-coho-2023-2024,escapement,AREA,29K,29K Salmon Arm,Sub-district 29K; the Map of Areas gives its sub-district office as Salmon Arm.,,,
fraser-coho-2023-2024,escapement,SPECIES,Coho,Coho salmon,"Coho salmon, Oncorhynchus kisutch.",,,
fraser-coho-2023-2024,escapement,RUN_TYPE,1,Run 1,"A distinct run within the season, numbered because no documentation supports a named run timing.",,,
fraser-coho-2023-2024,escapement,RUN_TYPE,FALL,Fall,Fall run timing.,,,
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Resistivity Counter,Resistivity counter,Count from a resistivity fish counter. The NuSEDS data dictionary gives no definition.,https://w3id.org/gcdfo/salmon#EstimateMethodScheme,https://w3id.org/gcdfo/salmon#FixedStationTally,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Not Applicable,Not applicable,Replaces Insufficient Information or Addition/Subtraction where the stream was not inspected or no fish were observed.,,,
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Combined Methods,Combined methods,Several survey methods were run on the system and an estimate calculated for each; the final estimate combines two or more estimate methods.,,,
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Area Under the Curve,Area under the curve,"Combines a series of point estimates of abundance into an annual estimate: the area under the curve of abundance over time, divided by the survey life (the average time an individual is available to be observed alive).",https://w3id.org/gcdfo/salmon#EstimateMethodScheme,https://w3id.org/gcdfo/salmon#AreaUnderTheCurve,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Peak Live * Expansion,Peak live times expansion,"An overflight count of all the spawners, multiplied by an expansion factor.",https://w3id.org/gcdfo/salmon#EstimateMethodScheme,https://w3id.org/gcdfo/salmon#ExpansionMathematicalOperations,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Sonar-DIDSON,DIDSON sonar,Count from a DIDSON imaging sonar; renamed from Didson Counter in 2022.,https://w3id.org/gcdfo/salmon#EstimateMethodScheme,https://w3id.org/gcdfo/salmon#HydroacousticModelling,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Fixed Site Census,Fixed site census,"Combines one or more raw observations into a single estimate, for example all the daily observations at a fence into one annual estimate.",https://w3id.org/gcdfo/salmon#EstimateMethodScheme,https://w3id.org/gcdfo/salmon#FixedStationTally,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Sonar-ARIS,ARIS sonar,Count from an ARIS imaging sonar. The NuSEDS data dictionary gives no definition.,https://w3id.org/gcdfo/salmon#EstimateMethodScheme,https://w3id.org/gcdfo/salmon#HydroacousticModelling,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Fence,Fence,Fence count. The NuSEDS data dictionary lists Fence as an enumeration method and does not define it as an estimate method.,,,
fraser-coho-2023-2024,escapement,ESTIMATE_CLASSIFICATION,TRUE ABUNDANCE (TYPE-1),"True abundance, Type-1","True abundance estimate, Type-1, the most accurate classification.",https://w3id.org/gcdfo/salmon#EstimateTypeScheme,https://w3id.org/gcdfo/salmon#Type1,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_CLASSIFICATION,NO SURVEY THIS YEAR,No survey this year,The stream was not inspected for the species this year.,,,
fraser-coho-2023-2024,escapement,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-3),"Relative abundance, Type-3","Relative abundance estimate, Type-3.",https://w3id.org/gcdfo/salmon#EstimateTypeScheme,https://w3id.org/gcdfo/salmon#Type3,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-4),"Relative abundance, Type-4","Relative abundance estimate, Type-4.",https://w3id.org/gcdfo/salmon#EstimateTypeScheme,https://w3id.org/gcdfo/salmon#Type4,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_CLASSIFICATION,RELATIVE ABUNDANCE (TYPE-5),"Relative abundance, Type-5","Relative abundance estimate, Type-5.",https://w3id.org/gcdfo/salmon#EstimateTypeScheme,https://w3id.org/gcdfo/salmon#Type5,skos_concept
fraser-coho-2023-2024,escapement,ESTIMATE_STAGE,FINAL,Final,Released after all data were incorporated and every verification step was completed; changes are not anticipated.,,,
