dataset_id,table_id,column_name,column_label,column_description,column_role,value_type,required,unit_label,unit_iri,term_iri,term_type,property_iri,entity_iri,constraint_iri,statistical_modifier_iri
fraser-coho-2023-2024,escapement,POP_ID,Population ID,NuSEDS identifier of the population the record is for.,identifier,integer,TRUE,,,,,,,,
fraser-coho-2023-2024,escapement,POPULATION,Population name,"NuSEDS population name. Inherited from earlier databases, it is by default a concatenation of stream name, sub-district, species and run type, for example Bonaparte River (Lillooet) Coho.",attribute,string,FALSE,,,,,,,,
fraser-coho-2023-2024,escapement,AREA,Sub-district,"DFO Pacific Region sub-district recorded for the population. NuSEDS defines AREA as the subdistrict, which in most cases is the same as the statistical area; the two differ mainly for streams that drain to the Fraser and for large areas split into lettered parts, such as 29F. These are the sub-districts of the NuSEDS Map of Areas, not Pacific Fishery Management Areas or Subareas.",categorical,string,FALSE,,,,,,,,
fraser-coho-2023-2024,escapement,WATERBODY,Waterbody,"Name of the waterbody, or the portion of a waterbody, that bounds the population.",attribute,string,TRUE,,,http://rs.tdwg.org/dwc/terms/waterBody,,,,,
fraser-coho-2023-2024,escapement,ANALYSIS_YR,Analysis year,The year the estimate is for. Surveys may have continued into the following calendar year.,temporal,integer,TRUE,,,https://w3id.org/smn/returnYear,,,,,
fraser-coho-2023-2024,escapement,SPECIES,Species,"Species of fish, as its NuSEDS common name.",categorical,string,TRUE,,,http://rs.tdwg.org/dwc/terms/vernacularName,,,,,
fraser-coho-2023-2024,escapement,RUN_TYPE,Run type,"Run timing of the population's run within the season. NuSEDS names a run (for example FALL) where documentation supports it, and numbers it (1) where documentation shows only that there are distinct runs within a season. Blank where NuSEDS records none.",categorical,string,FALSE,,,,,,,,
fraser-coho-2023-2024,escapement,NATURAL_ADULT_SPAWNERS,Natural adult spawners,"Estimated number of natural adult spawners: salmon that have reached maturity, excluding jacks (salmon that matured at an early age). Natural spawners are counted apart from artificial spawners such as hatchery broodstock; the word describes where the fish spawn, not their origin. Blank where no estimate was made.",measurement,number,FALSE,Individual,http://qudt.org/vocab/unit/INDIV,https://w3id.org/gcdfo/salmon#SpawnerAbundance,owl_class,https://w3id.org/smn/Abundance,https://w3id.org/smn/Population,,
fraser-coho-2023-2024,escapement,ESTIMATE_METHOD,Estimate method,Standard NuSEDS method used to produce the estimate.,categorical,string,FALSE,,,https://w3id.org/gcdfo/salmon#EstimateMethod,skos_concept,,,,
fraser-coho-2023-2024,escapement,ESTIMATE_CLASSIFICATION,Estimate classification,"Classification of the estimate by its accuracy and precision, from Type-1, the most accurate, to Type-6, the least.",categorical,string,FALSE,,,https://w3id.org/gcdfo/salmon#EstimateType,skos_concept,,,,
fraser-coho-2023-2024,escapement,ESTIMATE_STAGE,Estimate stage,"Review stage of the estimate: preliminary, near final or final.",categorical,string,FALSE,,,,,,,,
fraser-coho-2023-2024,escapement,START_DTT,Inspection start date,Date the first stream inspection for this season's estimate started.,temporal,date,FALSE,,,,,,,,
fraser-coho-2023-2024,escapement,END_DTT,Inspection end date,Date the last stream inspection for this season's estimate started.,temporal,date,FALSE,,,,,,,,
fraser-coho-2023-2024,escapement,WATERSHED_CDE,Watershed code,"45-digit hierarchical provincial watershed code, derived from the province's 1:50,000 National Topographic Series map sheets and unique to the waterbody and its watershed; its 12 levels follow the hierarchy of the stream network.",attribute,string,FALSE,,,,,,,,
